price,year,condition,odometer,car_age
33995,2010.0,3,22500.0,11.0
7500,2000.0,3,275134.0,21.0
17997,2008.0,3,150564.0,13.0
29997,2015.0,3,23904.0,6.0
27497,2016.0,3,80439.0,5.0
30590,2016.0,2,5937.0,5.0
25990,2013.0,2,42045.0,8.0
587,2018.0,3,50916.0,3.0
405,2011.0,3,52261.0,10.0
9999,1985.0,2,225000.0,36.0
26500,2011.0,3,129553.0,10.0
23500,2015.0,3,155285.0,6.0
13000,2007.0,3,77214.0,14.0
35990,2020.0,2,1548.0,1.0
33990,2012.0,2,88107.0,9.0
6200,2011.0,2,189110.0,10.0
36590,2016.0,2,43813.0,5.0
26590,2017.0,2,29240.0,4.0
31990,2017.0,2,19043.0,4.0
537,2017.0,3,60805.0,4.0
42590,2015.0,2,24048.0,6.0
26990,2017.0,2,21457.0,4.0
2900,2006.0,1,230407.0,15.0
33990,2017.0,2,11087.0,4.0
24590,2012.0,2,62362.0,9.0
24990,2020.0,2,31561.0,1.0
41990,2019.0,2,9345.0,2.0
418,2012.0,3,129020.0,9.0
25990,2019.0,2,70640.0,2.0
41990,2020.0,2,561.0,1.0
42990,2020.0,2,6790.0,1.0
16000,1987.0,3,80000.0,34.0
12777,2016.0,3,24000.0,5.0
10495,2015.0,3,73194.0,6.0
6900,1991.0,2,119285.0,30.0
59000,2020.0,4,1451.0,1.0
12988,1990.0,2,153401.0,31.0
3995,2011.0,3,154555.0,10.0
2995,2008.0,3,161309.0,13.0
4995,2005.0,3,236145.0,16.0
3995,2005.0,3,164397.0,16.0
39585,2019.0,3,26567.0,2.0
21995,2015.0,2,102598.0,6.0
17500,2002.0,3,44000.0,19.0
12950,2014.0,3,107374.0,7.0
12950,2010.0,3,77202.0,11.0
42995,2014.0,3,69867.0,7.0
8450,2009.0,3,101327.0,12.0
25950,2018.0,3,27176.0,3.0
10450,2002.0,3,154345.0,19.0
8900,2015.0,4,53000.0,6.0
6995,2004.0,3,88000.0,17.0
810,2017.0,3,47675.0,4.0
7995,2010.0,3,141310.0,11.0
9999,2010.0,2,131000.0,11.0
7999,2011.0,3,131000.0,10.0
7999,2011.0,2,127000.0,10.0
20999,2015.0,2,45000.0,6.0
11999,2016.0,2,94000.0,5.0
7499,2007.0,3,101000.0,14.0
14499,2014.0,2,90000.0,7.0
10499,2013.0,2,111000.0,8.0
8499,2011.0,2,123000.0,10.0
7999,2011.0,2,133000.0,10.0
9499,2010.0,2,90000.0,11.0
6999,2007.0,2,140000.0,14.0
6999,2007.0,2,99000.0,14.0
15999,2015.0,2,135000.0,6.0
6999,2012.0,2,153000.0,9.0
24999,2015.0,2,107000.0,6.0
7999,2011.0,2,121000.0,10.0
10999,2012.0,4,94000.0,9.0
7995,2000.0,1,152374.0,21.0
7995,2011.0,2,189834.0,10.0
8995,2001.0,2,136585.0,20.0
32795,2018.0,3,76119.0,3.0
29995,2018.0,2,76277.0,3.0
6450,2007.0,2,172500.0,14.0
23995,2015.0,2,90547.0,6.0
